method,map,ndcg,precision_at_10,recall
tfidf,0.15874804413271146,0.478111378104632,0.8046511627906977,0.1688485773706135
bm25,0.20074423980966843,0.5608859876552488,0.9023255813953488,0.20284612393056675
embedding,0.013741793371024696,0.08610386397092058,0.17674418604651165,0.01820741927877118
hybrid_parallel,0.18157613372484455,0.5434390846918515,0.8697674418604651,0.18814020904742398
hybrid_serial,0.1799841622745187,0.5405063356476262,0.8418604651162791,0.18620468343005797
