method,map_at_1000,ndcg_at_10,precision_at_10,recall_at_1000
tfidf,0.09096918931876348,0.135041947443467,0.1724137931034483,0.5794051215204241
bm25,0.17656210197909306,0.2741778737905886,0.303448275862069,0.6494361280119211
embedding,0.0019353936074876321,0.00368097277172198,0.010344827586206898,0.12368150075678787
hybrid_parallel,0.14297422830412204,0.2324402637303621,0.2310344827586207,0.6006888095298695
hybrid_serial,0.16404228511778496,0.2786302931070324,0.2793103448275862,0.6389877054297686
